datetime_O3_rf_107,O3_ref_107,O3_fit_107,O3_T_107,O3_RH_107
2016-09-30 12:00:00,19.2244,19.6663327946667,19.44,70.3109
2016-09-30 12:14:59,20.9542,20.7584633393333,19.5433,69.6817
2016-09-30 12:30:00,21.1061,21.07752387,19.5179,68.0625
2016-09-30 12:45:00,19.8281,19.9655732213333,19.4436,69.3655
2016-09-30 12:59:59,19.0223,19.6654024266667,19.3127,69.6182
2016-09-30 13:15:00,18.2635,18.9141346473333,19.2127,69.5364
2016-09-30 17:00:00,13.7589,14.932946359,16,82.6071
2016-09-30 17:15:00,14.1137,14.8286884266667,15.8831,82.8814
2016-09-30 17:29:59,13.7918,15.164253248,15.6418,82.9164
2016-09-30 17:45:00,13.6894,14.0708600953334,15.4091,83.1491
2016-09-30 18:00:00,13.1524,13.2961779,15.2218,83.5418
2016-09-30 18:14:59,13.1421,13.4094759533333,15.1,83.8474
2016-09-30 18:30:00,12.4517,12.9750922366667,15.0339,84.3119
2016-09-30 18:45:00,12.452,12.9532410753334,15,84.6255
2016-09-30 18:59:59,12.6936,12.6659879936667,14.92,84.78
2016-09-30 19:15:00,12.8385,12.6268534223333,14.9,84.9073
2016-09-30 19:30:00,11.6475,12.5395212163333,14.9,84.9754
2016-09-30 19:44:59,11.0584,11.8484604013333,14.8949,84.9475
2016-09-30 20:00:00,12.6146,13.511641499,14.8182,84.9236
2016-09-30 20:15:00,12.251,12.7776531636667,14.8,84.9611
2016-09-30 20:29:59,12.2566,12.91505068,14.7164,85.0345
2016-09-30 20:45:00,11.8532,12.0682236516666,14.6667,85.093
2016-09-30 21:00:00,12.4415,12.8310985223333,14.6051,85.1322
2016-09-30 21:14:59,13.1374,12.802790289,14.6782,85.1182
2016-09-30 21:30:00,12.5473,12.9254705686667,14.6327,83.8018
2016-09-30 21:45:00,13.1522,13.388506746,14.6691,85.3109
2016-09-30 21:59:59,13.2083,12.8220674196667,14.7,85.3807
2016-09-30 22:15:00,12.5323,12.258160837,14.6322,85.7983
2016-09-30 22:30:00,12.2854,11.913668209,14.5019,86.4241
2016-09-30 22:44:59,12.3748,12.3802067116667,14.5,86.8382
2016-09-30 23:00:00,12.2253,12.4377608146667,14.4236,87.0909
2016-09-30 23:15:00,11.9035,11.949315009,14.4,87.3807
2016-09-30 23:29:59,11.3716,11.1576272136667,14.4,87.5373
2016-09-30 23:45:00,11.112,10.895772674,14.3778,87.6463
2016-10-01 00:00:00,10.0231,10.0782569973333,14.2655,87.8309
2016-10-01 00:14:59,10.0926,10.0313092653333,14.1315,88.1296
2016-10-01 00:30:00,9.07017,9.021544472,13.9931,88.3172
2016-10-01 00:45:00,8.8226,8.80120698199999,13.8724,88.481
2016-10-01 00:59:59,9.2173,9.02869087733333,13.8,88.7127
2016-10-01 01:15:00,8.62783,8.554955503,13.8,88.9455
2016-10-01 01:30:00,8.27408,8.386145588,13.7055,88.9818
2016-10-01 01:44:59,8.40586,8.08981287033332,13.7,89.0544
2016-10-01 02:00:00,6.9449,7.21229067566666,13.7,89.2
2016-10-01 02:15:00,6.95289,7.29535952466667,13.76,89.3236
2016-10-01 02:29:59,7.65766,7.45912963733333,13.8,89.3582
2016-10-01 02:45:00,7.8303,7.53420962933334,13.8145,89.38
